ID,Location,Date,Time
green,lol,2016-02-26 00:11:09.612461
blue,lol,2016-02-26 00:11:09.612837
grey,lol,2016-02-26 00:11:09.613269
green,lol,2016-02-26 00:11:15.120753
blue,lol,2016-02-26 00:11:15.121065
grey,lol,2016-02-26 00:11:15.121585
green,lol,2016-02-26 00:11:27.136242
blue,lol,2016-02-26 00:11:27.136540
grey,lol,2016-02-26 00:11:27.137081
green,lol,2016-02-26 00:11:32.574752
blue,lol,2016-02-26 00:11:32.575047
grey,lol,2016-02-26 00:11:32.575525
green,lol,2016-02-26 00:11:38.594569
blue,lol,2016-02-26 00:11:38.594857
grey,lol,2016-02-26 00:11:38.595346
green,lol,2016-02-26 00:11:43.709537
blue,lol,2016-02-26 00:11:43.710013
grey,lol,2016-02-26 00:11:43.710434
green,lol,2016-02-26 00:11:48.687079
blue,lol,2016-02-26 00:11:48.687441
grey,lol,2016-02-26 00:11:48.688109
green,lol,2016-02-26 00:11:53.864673
blue,lol,2016-02-26 00:11:53.864977
grey,lol,2016-02-26 00:11:53.865486
green,lol,2016-02-26 00:11:59.314472
blue,lol,2016-02-26 00:11:59.314878
grey,lol,2016-02-26 00:11:59.315217
green,lol,2016-02-26 00:12:05.871993
blue,lol,2016-02-26 00:12:05.872307
grey,lol,2016-02-26 00:12:05.872654
green,lol,2016-02-26 00:12:10.728383
blue,lol,2016-02-26 00:12:10.728742
grey,lol,2016-02-26 00:12:10.729048
green,lol,2016-02-26 00:12:15.953156
blue,lol,2016-02-26 00:12:15.953431
grey,lol,2016-02-26 00:12:15.953878
green,lol,2016-02-26 00:12:18.656184
blue,lol,2016-02-26 00:12:18.656547
grey,lol,2016-02-26 00:12:18.656930
green,lol,2016-02-26 00:12:18.658049
blue,lol,2016-02-26 00:12:18.658462
grey,lol,2016-02-26 00:12:18.658752
green,lol,2016-02-26 00:12:20.856611
blue,lol,2016-02-26 00:12:20.856890
grey,lol,2016-02-26 00:12:20.857358
green,lol,2016-02-26 00:12:29.161330
blue,lol,2016-02-26 00:12:29.161642
grey,lol,2016-02-26 00:12:29.161911
green,lol,2016-02-26 00:12:34.203313
blue,lol,2016-02-26 00:12:34.203785
grey,lol,2016-02-26 00:12:34.204109
green,lol,2016-02-26 00:12:39.987539
blue,lol,2016-02-26 00:12:39.987818
grey,lol,2016-02-26 00:12:39.988260
green,lol,2016-02-26 00:12:46.347382
blue,lol,2016-02-26 00:12:46.347855
grey,lol,2016-02-26 00:12:46.348766
green,lol,2016-02-26 00:12:52.389095
blue,lol,2016-02-26 00:12:52.389540
grey,lol,2016-02-26 00:12:52.390146
green,lol,2016-02-26 00:12:57.621974
blue,lol,2016-02-26 00:12:57.622569
grey,lol,2016-02-26 00:12:57.623365
green,lol,2016-02-26 00:13:03.496601
blue,lol,2016-02-26 00:13:03.497167
grey,lol,2016-02-26 00:13:03.497696
green,lol,2016-02-26 00:13:08.824748
blue,lol,2016-02-26 00:13:08.825049
grey,lol,2016-02-26 00:13:08.825504
green,lol,2016-02-26 00:13:13.394729
blue,lol,2016-02-26 00:13:13.395036
grey,lol,2016-02-26 00:13:13.395553
green,lol,2016-02-26 00:13:23.979840
blue,lol,2016-02-26 00:13:23.980226
grey,lol,2016-02-26 00:13:23.980809
green,lol,2016-02-26 00:13:30.956690
blue,lol,2016-02-26 00:13:30.957285
grey,lol,2016-02-26 00:13:30.957671
green,lol,2016-02-26 00:14:01.184675
blue,lol,2016-02-26 00:14:01.185037
grey,lol,2016-02-26 00:14:01.185461
green,lol,2016-02-26 00:14:16.374673
blue,lol,2016-02-26 00:14:16.374965
grey,lol,2016-02-26 00:14:16.375428
green,lol,2016-02-26 00:14:20.974468
blue,lol,2016-02-26 00:14:20.974835
grey,lol,2016-02-26 00:14:20.975370
green,lol,2016-02-26 00:14:29.954736
blue,lol,2016-02-26 00:14:29.955434
grey,lol,2016-02-26 00:14:29.955805
green,lol,2016-02-26 00:14:35.749414
blue,lol,2016-02-26 00:14:35.749927
grey,lol,2016-02-26 00:14:35.750419
green,lol,2016-02-26 00:14:42.506080
blue,lol,2016-02-26 00:14:42.506372
grey,lol,2016-02-26 00:14:42.506885
green,lol,2016-02-26 00:14:51.658551
blue,lol,2016-02-26 00:14:51.659022
grey,lol,2016-02-26 00:14:51.659360
green,lol,2016-02-26 00:14:59.163493
blue,lol,2016-02-26 00:14:59.163851
grey,lol,2016-02-26 00:14:59.164133
green,lol,2016-02-26 00:15:04.084566
blue,lol,2016-02-26 00:15:04.084863
grey,lol,2016-02-26 00:15:04.085328
green,lol,2016-02-26 00:15:08.964332
blue,lol,2016-02-26 00:15:08.964695
grey,lol,2016-02-26 00:15:08.965089
green,lol,2016-02-26 00:15:15.584911
blue,lol,2016-02-26 00:15:15.585136
grey,lol,2016-02-26 00:15:15.585325
green,lol,2016-02-26 00:15:22.157386
blue,lol,2016-02-26 00:15:22.158103
grey,lol,2016-02-26 00:15:22.158445
green,lol,2016-02-26 00:15:29.084743
blue,lol,2016-02-26 00:15:29.085095
grey,lol,2016-02-26 00:15:29.085376
green,lol,2016-02-26 00:15:32.536479
blue,lol,2016-02-26 00:15:32.536784
grey,lol,2016-02-26 00:15:32.537061
green,lol,2016-02-26 00:15:42.775011
blue,lol,2016-02-26 00:15:42.775143
grey,lol,2016-02-26 00:15:42.775309
green,lol,2016-02-26 00:15:48.002694
blue,lol,2016-02-26 00:15:48.002991
grey,lol,2016-02-26 00:15:48.003478
green,lol,2016-02-26 00:16:11.330457
blue,lol,2016-02-26 00:16:11.331105
grey,lol,2016-02-26 00:16:11.331765
green,lol,2016-02-26 00:16:45.324603
