ID,Location,Date,Time




3,a,2015-11-22 02:05:12.243440
3,a,2015-11-22 02:05:21.210248
3,a,2015-11-22 02:05:36.480350
3,a,2015-11-22 02:05:51.933798
3,a,2015-11-22 02:06:03.899319
3,a,2015-11-22 02:06:09.065880
3,a,2015-11-22 02:06:14.857761
1,a,2015-11-22 02:06:17.013534
1,a,2015-11-22 02:06:21.980680
1,a,2015-11-22 02:06:27.629599
3,a,2015-11-22 02:06:37.750034
3,a,2015-11-22 02:06:47.111066
1,a,2015-11-22 02:06:50.976479
3,a,2015-11-22 02:06:58.278527
3,a,2015-11-22 02:07:03.873660
3,a,2015-11-22 02:07:10.715641
3,a,2015-11-22 02:07:18.609976
3,a,2015-11-22 02:08:28.761975
3,a,2015-11-22 02:08:50.265675
3,a,2015-11-22 02:08:59.752334
3,a,2015-11-22 02:09:05.428855
3,a,2015-11-22 02:09:13.459894
3,a,2015-11-22 02:10:57.552976
3,a,2015-11-22 02:11:19.511010
